Día,Infectados,En Cuarentena,Total Infectados Activos,Recuperados Hoy,Total Recuperados,Fallecidos Hoy,Total Fallecidos,Nuevos Contagios
0,32,0,32,0,0,0,0,32
1,51,0,51,0,0,0,0,19
2,76,0,76,0,0,0,0,25
3,103,0,103,0,0,0,0,27
4,109,15,124,0,0,1,1,21
5,109,36,145,0,0,1,2,21
6,114,61,175,0,0,1,3,30
7,111,86,197,0,0,5,8,22
8,103,102,205,0,0,4,12,8
9,101,118,219,0,0,6,18,14
10,97,136,233,0,0,4,22,14
11,79,163,242,0,0,8,30,9
12,71,173,244,0,0,10,40,2
13,76,178,254,0,0,7,47,10
14,72,195,267,0,0,7,54,13
15,78,202,280,0,0,7,61,13
16,86,211,297,0,0,6,67,17
17,99,215,314,0,0,8,75,17
18,104,209,313,0,0,13,88,0
19,84,220,304,6,6,3,91,0
20,86,216,302,0,6,7,98,0
21,67,217,284,10,16,8,106,0
22,61,219,280,0,16,8,114,0
23,67,210,277,0,16,15,129,0
24,69,210,279,0,16,5,134,2
25,69,198,267,7,23,5,139,0
26,72,191,263,0,23,6,145,0
27,69,193,262,0,23,11,156,0
28,57,189,246,6,29,10,166,0
29,49,199,248,0,29,6,172,2
